Program,Input Size,Average Time (secs)
sq_mat_ver_mult,64,.01189214270000000000
sq_mat_ver_mult_omp,64,.01094699390000000000
sq_mat_ver_mult_mpi,64,.72188045000000000000
sq_mat_ver_mul_mpi_tile,64,.74192397670000000000
sq_mat_ver_mul_openmp_tile,64,.02498632360000000000
sq_mat_ver_mult,128,.01061883300000000000
sq_mat_ver_mult_omp,128,.01049353790000000000
sq_mat_ver_mult_mpi,128,.74517920980000000000
sq_mat_ver_mul_mpi_tile,128,.77532014330000000000
sq_mat_ver_mul_openmp_tile,128,.02763548600000000000
sq_mat_ver_mult,256,.01137377210000000000
sq_mat_ver_mult_omp,256,.01016076750000000000
sq_mat_ver_mult_mpi,256,.80882910030000000000
sq_mat_ver_mul_mpi_tile,256,.84065167370000000000
sq_mat_ver_mul_openmp_tile,256,.02766150100000000000
sq_mat_ver_mult,512,.01041312600000000000
sq_mat_ver_mult_omp,512,.00912914310000000000
sq_mat_ver_mult_mpi,512,.83452062200000000000
sq_mat_ver_mul_mpi_tile,512,.78146092190000000000
sq_mat_ver_mul_openmp_tile,512,.01722728350000000000
sq_mat_ver_mult,1024,.01032902550000000000
sq_mat_ver_mult_omp,1024,.01112395710000000000
sq_mat_ver_mult_mpi,1024,.79088802680000000000
sq_mat_ver_mul_mpi_tile,1024,.78220795370000000000
sq_mat_ver_mul_openmp_tile,1024,.01495813580000000000
sq_mat_ver_mult,2048,.01023290430000000000
sq_mat_ver_mult_omp,2048,.01046397480000000000
sq_mat_ver_mult_mpi,2048,.75494867670000000000
sq_mat_ver_mul_mpi_tile,2048,.83996186660000000000
sq_mat_ver_mul_openmp_tile,2048,.01369942110000000000
sq_mat_ver_mult,4096,.00980000860000000000
sq_mat_ver_mult_omp,4096,.01043479870000000000
sq_mat_ver_mult_mpi,4096,.84194940130000000000
sq_mat_ver_mul_mpi_tile,4096,.88431480200000000000
sq_mat_ver_mul_openmp_tile,4096,.03607261100000000000
sq_mat_ver_mult,8192,.01531825340000000000
sq_mat_ver_mult_omp,8192,.01125335590000000000
sq_mat_ver_mult_mpi,8192,.89620804320000000000
sq_mat_ver_mul_mpi_tile,8192,.86758329150000000000
sq_mat_ver_mul_openmp_tile,8192,.02203329160000000000
sq_mat_ver_mult,16384,.02007699530000000000
sq_mat_ver_mult_omp,16384,.01360579710000000000
sq_mat_ver_mult_mpi,16384,.82044054100000000000
sq_mat_ver_mul_mpi_tile,16384,.85415365280000000000
sq_mat_ver_mul_openmp_tile,16384,.02866220620000000000
sq_mat_ver_mult,32768,.01521120680000000000
sq_mat_ver_mult_omp,32768,.01385169000000000000
sq_mat_ver_mult_mpi,32768,.91426703840000000000
sq_mat_ver_mul_mpi_tile,32768,.84405505550000000000
sq_mat_ver_mul_openmp_tile,32768,.03124349730000000000
1, sq_mat_ver_mult, 64, . secs, 0 secs
2, sq_mat_ver_mult, 64, . secs, 0 secs
3, sq_mat_ver_mult, 64, . secs, 0 secs
4, sq_mat_ver_mult, 64, . secs, 0 secs
5, sq_mat_ver_mult, 64, . secs, 0 secs
6, sq_mat_ver_mult, 64, . secs, 0 secs
7, sq_mat_ver_mult, 64, . secs, 0 secs
8, sq_mat_ver_mult, 64, . secs, 0 secs
9, sq_mat_ver_mult, 64, . secs, 0 secs
10, sq_mat_ver_mult, 64, . secs, 0 secs
1, sq_mat_ver_mult, 128, . secs, 0 secs
2, sq_mat_ver_mult, 128, . secs, 0 secs
3, sq_mat_ver_mult, 128, . secs, 0 secs
4, sq_mat_ver_mult, 128, . secs, 0 secs
5, sq_mat_ver_mult, 128, . secs, 0 secs
6, sq_mat_ver_mult, 128, . secs, 0 secs
7, sq_mat_ver_mult, 128, . secs, 0 secs
8, sq_mat_ver_mult, 128, . secs, 0 secs
9, sq_mat_ver_mult, 128, . secs, 0 secs
10, sq_mat_ver_mult, 128, . secs, 0 secs
1, sq_mat_ver_mult, 256, . secs, 0 secs
2, sq_mat_ver_mult, 256, . secs, 0 secs
3, sq_mat_ver_mult, 256, . secs, 0 secs
4, sq_mat_ver_mult, 256, . secs, 0 secs
5, sq_mat_ver_mult, 256, . secs, 0 secs
6, sq_mat_ver_mult, 256, . secs, 0 secs
7, sq_mat_ver_mult, 256, . secs, 0 secs
8, sq_mat_ver_mult, 256, . secs, 0 secs
9, sq_mat_ver_mult, 256, . secs, 0 secs
10, sq_mat_ver_mult, 256, . secs, 0 secs
1, sq_mat_ver_mult, 512, . secs, 0 secs
2, sq_mat_ver_mult, 512, . secs, 0 secs
3, sq_mat_ver_mult, 512, . secs, 0 secs
4, sq_mat_ver_mult, 512, . secs, 0 secs
5, sq_mat_ver_mult, 512, . secs, 0 secs
6, sq_mat_ver_mult, 512, . secs, 0 secs
7, sq_mat_ver_mult, 512, . secs, 0 secs
8, sq_mat_ver_mult, 512, . secs, 0 secs
9, sq_mat_ver_mult, 512, . secs, 0 secs
10, sq_mat_ver_mult, 512, . secs, 0 secs
1, sq_mat_ver_mult, 1024, . secs, 0 secs
2, sq_mat_ver_mult, 1024, . secs, 0 secs
3, sq_mat_ver_mult, 1024, . secs, 0 secs
4, sq_mat_ver_mult, 1024, . secs, 0 secs
5, sq_mat_ver_mult, 1024, . secs, 0 secs
6, sq_mat_ver_mult, 1024, . secs, 0 secs
7, sq_mat_ver_mult, 1024, . secs, 0 secs
8, sq_mat_ver_mult, 1024, . secs, 0 secs
9, sq_mat_ver_mult, 1024, . secs, 0 secs
10, sq_mat_ver_mult, 1024, . secs, 0 secs
1, sq_mat_ver_mult, 2048, . secs, 0 secs
2, sq_mat_ver_mult, 2048, . secs, 0 secs
3, sq_mat_ver_mult, 2048, . secs, 0 secs
4, sq_mat_ver_mult, 2048, . secs, 0 secs
5, sq_mat_ver_mult, 2048, . secs, 0 secs
6, sq_mat_ver_mult, 2048, . secs, 0 secs
7, sq_mat_ver_mult, 2048, . secs, 0 secs
8, sq_mat_ver_mult, 2048, . secs, 0 secs
9, sq_mat_ver_mult, 2048, . secs, 0 secs
10, sq_mat_ver_mult, 2048, . secs, 0 secs
1, sq_mat_ver_mult, 4096, . secs, 0 secs
2, sq_mat_ver_mult, 4096, . secs, 0 secs
3, sq_mat_ver_mult, 4096, . secs, 0 secs
4, sq_mat_ver_mult, 4096, . secs, 0 secs
5, sq_mat_ver_mult, 4096, . secs, 0 secs
6, sq_mat_ver_mult, 4096, . secs, 0 secs
7, sq_mat_ver_mult, 4096, . secs, 0 secs
8, sq_mat_ver_mult, 4096, . secs, 0 secs
9, sq_mat_ver_mult, 4096, . secs, 0 secs
10, sq_mat_ver_mult, 4096, . secs, 0 secs
